Numer_CAS;Length_mm_CAS;Width_mm_CAS;Height_mm_CAS;Gross_g_CAS;Numer_PAL;Length_mm_PAL;Width_mm_PAL;Height_mm_PAL;Gross_kg_PAL;Packing_PAL
2;862;228;445;10464;24;1200;800;1929;148.568;201-P
40;447;390;225;5938;1440;1200;800;2170;236.768;201-P
6;139;97;180;570;1860;1200;800;1057;204;201-E120
20;600;345;230;10585;640;1200;800;1990;361.72;201-P
6;332;127;122;460;1080;1130;770;1105;83.8;SLP
4;270;109;183;367;672;1130;770;1105;68.656;SLP
50;547;260;148;4413.9;1500;1200;800;885;156.6;201-E
20;285;210;200;1420;840;1200;800;753;83.74;201-E
4;273;73;137;393;1344;1200;800;1243;147.048;201-E120
12;326;266;322;2333.2;240;1200;800;789;70.764;201-E90
6;209;135;143;774;1218;1200;800;1162;184.322;201-E120
4;224;73;122;323;1800;1200;800;1250;160.35;201-E120
3;164;60;127;455;1728;1200;800;1258;287.08;201-E120
10;151;111;133;191;3500;1200;800;1092;91.85;201-E120
5;360;84;132;330;1080;1200;800;1213;96.28;201-E120
4;135;110;183;307;912;1200;800;877;95;201-E90
1;458;458;416;1346;10;1200;800;2194;36.46;201-P
5;261;162;98;517;840;1200;800;934;110.956;201-E
4;224;73;122;203;1800;1200;800;1250;106.35;201-E120
6;316;153;134;857;714;1130;770;949;108.983;SLP
8;545;210;565;5640;168;1200;800;1840;141.44;201-P
6;404;140;137;737;1404;1130;770;2491;174.458;SLP-240
4;279;138;122;631;1800;1130;770;1105;114.58;SLP
4;305;110;213;478;460;1200;800;1217;79.97;201-E120
6;384;196;245;1840;180;1200;800;880;80.2;201-E90
10;377;244;266;13080;630;1200;800;2011;847.04;201-P
10;772;238;314;13127;250;1200;800;1735;351.175;201-P
3;759;389;348;7572;27;1200;800;1189;93.148;201-E120
4;518;197;132;2118;140;1200;800;805;99.13;201-E90
4;120;95;120;300;1848;1130;770;983;201.8;SLP
4;221;179;132;1492;672;1130;770;1074;257.656;SLP
12;332;138;122;918;1224;1200;800;877;118.636;201-E90
4;273;73;137;550;1344;1130;770;1098;185.8;SLP
6;266;181;183;1240;1152;1142;770;2241;244.27;SLP
4;313;85;170;340;744;1130;770;2267;64.24;SLP
4;154;100;163;236;1320;1200;800;1145;102.88;201-E120
5;332;76;138;530;1085;1130;770;984;122.01;SLP
8;396;243;505;6447;288;1200;800;2165;255.092;201-P
4;563;290;496;4015;64;1200;800;2130;87.24;201-P
10;202;155;133;288;1620;1200;800;948;70.756;201-E
4;273;73;137;393;3024;1130;770;2493;299.108;SLP-240
10;567;212;248;13701;560;1200;800;2132;790.256;201-P
10;349;207;136;860;600;1200;800;828;75.7;201-E
